Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/v-->v/V1*V2/Chc/1322/numPlain/3144/Compression/0.42998753269611556/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4,1.8130171738642578,1.6528019769660507,1.9414589717246902,0.17038531674764373,0.09223846655209816,0.2222082581698252,Z3,v-->v,V1*V2,1322,3144,0.42998753269611556,2309,996,1313,4
Z3/v-->v/V1*V2*V3/Chc/1400/numPlain/3082/Compression/0.22433884832022202/VCore_Total/2326/VCorePlain/951/VCoreVar/1375/Variants/8,3.2948851053370163,2.98714943008963,3.4715291431639344,0.30371233100383754,0.0935666798865005,0.4079419311604543,Z3,v-->v,V1*V2*V3,1400,3082,0.22433884832022202,2326,951,1375,8
Z3/v-->v/V1*V2*V3*V4/Chc/1478/numPlain/3012/Compression/0.11777807624292078/VCore_Total/2374/VCorePlain/929/VCoreVar/1445/Variants/16,7.10460324412755,6.807736249097312,7.405173538427334,0.3793038642082691,0.19101359345950186,0.4650214587714507,Z3,v-->v,V1*V2*V3*V4,1478,3012,0.11777807624292078,2374,929,1445,16
Z3/v-->v/V1*V2*V3*V4*V5/Chc/2159/numPlain/2696/Compression/6.495161759392268e-2/VCore_Total/2382/VCorePlain/621/VCoreVar/1761/Variants/32,13.103961078682914,12.781960549997166,13.60642889328301,0.4874787324621856,0.13715256401337683,0.6593849257901463,Z3,v-->v,V1*V2*V3*V4*V5,2159,2696,0.06495161759392268,2382,621,1761,32
Z3/v-->v/V1*V2*V3*V4*V5*V6/Chc/2827/numPlain/2153/Compression/3.381157834308062e-2/VCore_Total/2814/VCorePlain/510/VCoreVar/2304/Variants/64,34.91250469966326,31.66835530602839,38.337191203725524,3.6701243441601896,1.818550883465512,5.133672267622508,Z3,v-->v,V1*V2*V3*V4*V5*V6,2827,2153,0.03381157834308062,2814,510,2304,64
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7/Chc/3248/numPlain/1882/Compression/1.7401325032037885e-2/VCore_Total/2929/VCorePlain/354/VCoreVar/2575/Variants/128,77.9525607812296,73.19223213009536,81.7867580144084,5.288054878777978,2.9228323871502653,6.616069110487119,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7,3248,1882,0.017401325032037885,2929,354,2575,128
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8/Chc/3633/numPlain/1563/Compression/8.930997845575573e-3/VCore_Total/3186/VCorePlain/292/VCoreVar/2894/Variants/256,150.5464387446506,147.08324849281536,156.41833153471816,5.609610298920967,0.09540403261773545,6.827979782305119,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8,3633,1563,0.008930997845575573,3186,292,2894,256
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9/Chc/3752/numPlain/1499/Compression/4.533705884956312e-3/VCore_Total/3213/VCorePlain/255/VCoreVar/2958/Variants/512,321.749846052262,317.32627861510264,325.10281836322974,4.711147220019585,2.494558049016632,6.548129462353743,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9,3752,1499,0.004533705884956312,3213,255,2958,512
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9*V10/Chc/3809/numPlain/1442/Compression/2.2626622142124073e-3/VCore_Total/3250/VCorePlain/235/VCoreVar/3015/Variants/1024,641.8288476005837,626.6373116548639,657.010813038185,20.221205245960775,6.466733613866381,27.616208685174108,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9*V10,3809,1442,0.0022626622142124073,3250,235,3015,1024
Z3/p-->v/V1*V2/Chc/1322/numPlain/3144/Compression/0.42998753269611556/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4,2.347459510415016,2.3068997802135223,2.421146260050591,0.07147985133722766,0.00031074547829734733,0.08526553846115971,Z3,p-->v,V1*V2,1322,3144,0.42998753269611556,2309,996,1313,4
Z3/p-->v/V1*V2*V3/Chc/1400/numPlain/3082/Compression/0.22433884832022202/VCore_Total/2326/VCorePlain/951/VCoreVar/1375/Variants/8,4.7728760412234505,4.183946828707121,5.414247490698472,0.6778598587894142,0.32385480430444497,0.947085891179841,Z3,p-->v,V1*V2*V3,1400,3082,0.22433884832022202,2326,951,1375,8
Z3/p-->v/V1*V2*V3*V4/Chc/1478/numPlain/3012/Compression/0.11777807624292078/VCore_Total/2374/VCorePlain/929/VCoreVar/1445/Variants/16,10.028500219486887,9.228608834149782,10.555579858541023,0.843336781982616,0.4207497155875899,1.166554974849634,Z3,p-->v,V1*V2*V3*V4,1478,3012,0.11777807624292078,2374,929,1445,16
Z3/p-->v/V1*V2*V3*V4*V5/Chc/2159/numPlain/2696/Compression/6.495161759392268e-2/VCore_Total/2382/VCorePlain/621/VCoreVar/1761/Variants/32,27.179623934459716,25.024487264687195,29.184635541285388,2.4197075655995555,1.5767987063284485,2.954793421683257,Z3,p-->v,V1*V2*V3*V4*V5,2159,2696,0.06495161759392268,2382,621,1761,32
Z3/p-->v/V1*V2*V3*V4*V5*V6/Chc/2827/numPlain/2153/Compression/3.381157834308062e-2/VCore_Total/2814/VCorePlain/510/VCoreVar/2304/Variants/64,60.91585319595955,56.08508054231061,63.83651429426391,4.7596429797694535,1.7052783739054576,6.380299539076758,Z3,p-->v,V1*V2*V3*V4*V5*V6,2827,2153,0.03381157834308062,2814,510,2304,64
Z3/p-->v/V1*V2*V3*V4*V5*V6*V7/Chc/3248/numPlain/1882/Compression/1.7401325032037885e-2/VCore_Total/2929/VCorePlain/354/VCoreVar/2575/Variants/128,126.65451337618288,122.10504344134824,130.32729395164642,4.57754658534438,2.209165354259312,5.930998991741215,Z3,p-->v,V1*V2*V3*V4*V5*V6*V7,3248,1882,0.017401325032037885,2929,354,2575,128
Z3/p-->v/V1*V2*V3*V4*V5*V6*V7*V8/Chc/3633/numPlain/1563/Compression/8.930997845575573e-3/VCore_Total/3186/VCorePlain/292/VCoreVar/2894/Variants/256,260.49665104507585,253.53633946043556,265.9878053991124,7.233141975051447,3.088408990763128,9.82016929625624,Z3,p-->v,V1*V2*V3*V4*V5*V6*V7*V8,3633,1563,0.008930997845575573,3186,292,2894,256
Z3/p-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9/Chc/3752/numPlain/1499/Compression/4.533705884956312e-3/VCore_Total/3213/VCorePlain/255/VCoreVar/2958/Variants/512,528.8545115672265,526.0772898320574,531.1553724913974,2.803344679014969,1.1001081698448334,3.519115529760232,Z3,p-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9,3752,1499,0.004533705884956312,3213,255,2958,512
Z3/p-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9*V10/Chc/3809/numPlain/1442/Compression/2.2626622142124073e-3/VCore_Total/3250/VCorePlain/235/VCoreVar/3015/Variants/1024,1090.4553541488906,1077.366734463023,1097.9203801092226,12.712528119920373,4.252605585816228,17.2397389908208,Z3,p-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9*V10,3809,1442,0.0022626622142124073,3250,235,3015,1024
Z3/p-->p/V1*V2/Chc/1322/numPlain/3144/Compression/0.42998753269611556/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4,2.2439966191692897,1.918920595664531,2.517722661917408,0.32762375122834403,0.22766932104695042,0.3895876075927563,Z3,p-->p,V1*V2,1322,3144,0.42998753269611556,2309,996,1313,4
Z3/p-->p/V1*V2*V3/Chc/1400/numPlain/3082/Compression/0.22433884832022202/VCore_Total/2326/VCorePlain/951/VCoreVar/1375/Variants/8,5.113422735642719,4.826554517436307,5.372474346523328,0.32291448091739805,0.13820316279695044,0.411038519250518,Z3,p-->p,V1*V2*V3,1400,3082,0.22433884832022202,2326,951,1375,8
Z3/p-->p/V1*V2*V3*V4/Chc/1478/numPlain/3012/Compression/0.11777807624292078/VCore_Total/2374/VCorePlain/929/VCoreVar/1445/Variants/16,10.096774654026376,9.423612536775181,10.47877305932343,0.6626243277825983,0.18166938668582588,0.8821875285130475,Z3,p-->p,V1*V2*V3*V4,1478,3012,0.11777807624292078,2374,929,1445,16
Z3/p-->p/V1*V2*V3*V4*V5/Chc/2159/numPlain/2696/Compression/6.495161759392268e-2/VCore_Total/2382/VCorePlain/621/VCoreVar/1761/Variants/32,25.213541845461197,24.351766729960218,26.53512374627947,1.256468432704852,0.2223137869077032,1.6371882258409864,Z3,p-->p,V1*V2*V3*V4*V5,2159,2696,0.06495161759392268,2382,621,1761,32
Z3/p-->p/V1*V2*V3*V4*V5*V6/Chc/2827/numPlain/2153/Compression/3.381157834308062e-2/VCore_Total/2814/VCorePlain/510/VCoreVar/2304/Variants/64,67.36387659618049,63.42945557710482,71.29829761525616,4.7604149354574945,2.7205762008670717,5.944705334031656,Z3,p-->p,V1*V2*V3*V4*V5*V6,2827,2153,0.03381157834308062,2814,510,2304,64
Z3/p-->p/V1*V2*V3*V4*V5*V6*V7/Chc/3248/numPlain/1882/Compression/1.7401325032037885e-2/VCore_Total/2929/VCorePlain/354/VCoreVar/2575/Variants/128,136.2063300848143,133.72450260116602,138.0817442041201,2.383549971508978,1.2751445939065889,2.872861825668632,Z3,p-->p,V1*V2*V3*V4*V5*V6*V7,3248,1882,0.017401325032037885,2929,354,2575,128
Z3/p-->p/V1*V2*V3*V4*V5*V6*V7*V8/Chc/3633/numPlain/1563/Compression/8.930997845575573e-3/VCore_Total/3186/VCorePlain/292/VCoreVar/2894/Variants/256,273.1973538699676,262.5661617682781,279.3921754092444,10.474069271485247,3.851483885974849,14.306327533132482,Z3,p-->p,V1*V2*V3*V4*V5*V6*V7*V8,3633,1563,0.008930997845575573,3186,292,2894,256
Z3/p-->p/V1*V2*V3*V4*V5*V6*V7*V8*V9/Chc/3752/numPlain/1499/Compression/4.533705884956312e-3/VCore_Total/3213/VCorePlain/255/VCoreVar/2958/Variants/512,566.0912938966649,558.8228326166281,572.8744741030969,7.972960575526001,6.213552738145673,9.284914875188216,Z3,p-->p,V1*V2*V3*V4*V5*V6*V7*V8*V9,3752,1499,0.004533705884956312,3213,255,2958,512
Z3/p-->p/V1*V2*V3*V4*V5*V6*V7*V8*V9*V10/Chc/3809/numPlain/1442/Compression/2.2626622142124073e-3/VCore_Total/3250/VCorePlain/235/VCoreVar/3015/Variants/1024,1159.982915463673,1147.439657317038,1177.6556005714422,18.45858077304392,5.750767130108244,24.460416263805726,Z3,p-->p,V1*V2*V3*V4*V5*V6*V7*V8*V9*V10,3809,1442,0.0022626622142124073,3250,235,3015,1024
Z3/v-->p/V1*V2/Chc/1322/numPlain/3144/Compression/0.42998753269611556/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4,3.398348905854315,3.257108251156751,3.5112889054095526,0.16443417554133988,0.11423435178155751,0.19189354434253908,Z3,v-->p,V1*V2,1322,3144,0.42998753269611556,2309,996,1313,4
Z3/v-->p/V1*V2*V3/Chc/1400/numPlain/3082/Compression/0.22433884832022202/VCore_Total/2326/VCorePlain/951/VCoreVar/1375/Variants/8,7.1658855376202455,6.778134059830336,7.401130413073891,0.3839814604246755,0.16250470995090768,0.5147036215990576,Z3,v-->p,V1*V2*V3,1400,3082,0.22433884832022202,2326,951,1375,8
Z3/v-->p/V1*V2*V3*V4/Chc/1478/numPlain/3012/Compression/0.11777807624292078/VCore_Total/2374/VCorePlain/929/VCoreVar/1445/Variants/16,16.134174564950325,15.715815100411419,16.385417215293273,0.40062298854283834,0.16455614877243896,0.5154599483693085,Z3,v-->p,V1*V2*V3*V4,1478,3012,0.11777807624292078,2374,929,1445,16
Z3/v-->p/V1*V2*V3*V4*V5/Chc/2159/numPlain/2696/Compression/6.495161759392268e-2/VCore_Total/2382/VCorePlain/621/VCoreVar/1761/Variants/32,41.242896512626125,39.613997597654816,42.329758287698496,1.5876631211349648,0.6337991679902188,2.0905935539350957,Z3,v-->p,V1*V2*V3*V4*V5,2159,2696,0.06495161759392268,2382,621,1761,32
Z3/v-->p/V1*V2*V3*V4*V5*V6/Chc/2827/numPlain/2153/Compression/3.381157834308062e-2/VCore_Total/2814/VCorePlain/510/VCoreVar/2304/Variants/64,97.55744714880711,96.50381736078998,99.48440045898315,1.8896451580606848,0.03978470210079532,2.3934690648508057,Z3,v-->p,V1*V2*V3*V4*V5*V6,2827,2153,0.03381157834308062,2814,510,2304,64
Z3/v-->p/V1*V2*V3*V4*V5*V6*V7/Chc/3248/numPlain/1882/Compression/1.7401325032037885e-2/VCore_Total/2929/VCorePlain/354/VCoreVar/2575/Variants/128,203.10272251345063,200.70120208221488,204.87492772715632,2.645829579548614,1.317398662213236,3.7200024810133576,Z3,v-->p,V1*V2*V3*V4*V5*V6*V7,3248,1882,0.017401325032037885,2929,354,2575,128
Z3/v-->p/V1*V2*V3*V4*V5*V6*V7*V8/Chc/3633/numPlain/1563/Compression/8.930997845575573e-3/VCore_Total/3186/VCorePlain/292/VCoreVar/2894/Variants/256,402.28304117186536,355.8764868702274,419.15799298839795,31.23114934677186,2.202854737772963,38.97103189534825,Z3,v-->p,V1*V2*V3*V4*V5*V6*V7*V8,3633,1563,0.008930997845575573,3186,292,2894,256
Z3/v-->p/V1*V2*V3*V4*V5*V6*V7*V8*V9/Chc/3752/numPlain/1499/Compression/4.533705884956312e-3/VCore_Total/3213/VCorePlain/255/VCoreVar/2958/Variants/512,588.7731856894001,566.2029409209306,611.3434304578695,27.390870301704844,15.534583285295696,34.18595588797819,Z3,v-->p,V1*V2*V3*V4*V5*V6*V7*V8*V9,3752,1499,0.004533705884956312,3213,255,2958,512
Z3/v-->p/V1*V2*V3*V4*V5*V6*V7*V8*V9*V10/Chc/3809/numPlain/1442/Compression/2.2626622142124073e-3/VCore_Total/3250/VCorePlain/235/VCoreVar/3015/Variants/1024,1125.4613169394627,1082.4980151665707,1158.7158829334076,41.568279931823106,22.292796885537207,49.674031675872264,Z3,v-->p,V1*V2*V3*V4*V5*V6*V7*V8*V9*V10,3809,1442,0.0022626622142124073,3250,235,3015,1024
