Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB,PlainCount,Algorithm,Config,ChcCount,Chc,Variant,VariantSize,FormulaType
vsat/VSolve/Empty/Chc/1/VariantSize/1/numPlain/1/RightGen,0.014942793752258482,0.014350277663537562,0.015937093614305117,0.0018491987544738617,0.0013285057876431402,0.0027706532060205644,1.0,VSolve,Empty,1,Chc,VariantSize,1,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/1/numPlain/10/RightGen,0.019847417119794937,0.018390865414212827,0.02186094912513973,0.003915753455817927,0.0025366250213724024,0.005139948163758364,10.0,VSolve,Empty,1,Chc,VariantSize,1,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/1/numPlain/100/RightGen,0.04233363576349843,0.041490180320217965,0.043095764547850746,0.001507770268442834,0.001190637709927664,0.0020785059552399206,100.0,VSolve,Empty,1,Chc,VariantSize,1,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/10/numPlain/1/RightGen,0.019812131051185004,0.019643580186853457,0.02001692042147058,0.00042553592371446006,0.0002741868176768511,0.0006693994740263349,1.0,VSolve,Empty,1,Chc,VariantSize,10,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/10/numPlain/10/RightGen,0.022806200903537358,0.022314912908989577,0.023530972990399187,0.0013983046068128024,0.0009855970403272773,0.001968277275809886,10.0,VSolve,Empty,1,Chc,VariantSize,10,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/10/numPlain/100/RightGen,0.04481700477779952,0.04317707153449625,0.04563665704617292,0.0023238882582895743,0.000957501222845503,0.004129177248913853,100.0,VSolve,Empty,1,Chc,VariantSize,10,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/100/numPlain/1/RightGen,0.0695679949916639,0.06764414884286464,0.07731138711938508,0.005166555031760322,0.001600227186513586,0.008348834962890855,1.0,VSolve,Empty,1,Chc,VariantSize,100,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/100/numPlain/10/RightGen,0.06998113619637457,0.06866446617971661,0.07142187939691401,0.0024155027563470743,0.0016791704280679411,0.0033189885928806852,10.0,VSolve,Empty,1,Chc,VariantSize,100,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/100/numPlain/100/RightGen,0.09289885509058803,0.09086818220764531,0.09616587028590907,0.003989905464157066,0.0020810577850449014,0.0058417241859698155,100.0,VSolve,Empty,1,Chc,VariantSize,100,RightGen
vsat/VSolve/Empty/Chc/2/VariantSize/1/numPlain/1/RightGen,0.018084328949444204,0.017818401670504986,0.01847103560492393,0.0007609052400181374,0.0005599456682277308,0.0011087626798570844,1.0,VSolve,Empty,2,Chc,VariantSize,1,RightGen
vsat/VSolve/Empty/Chc/2/VariantSize/1/numPlain/10/RightGen,0.021961948937860108,0.0215483091367693,0.022207475490600214,0.0007105450713822081,0.0003180618767414778,0.0010807412027267513,10.0,VSolve,Empty,2,Chc,VariantSize,1,RightGen
vsat/VSolve/Empty/Chc/2/VariantSize/1/numPlain/100/RightGen,0.05904289935814926,0.058214729239898566,0.059598569161102614,0.001332637976353828,0.000632484418718763,0.0018703680543343483,100.0,VSolve,Empty,2,Chc,VariantSize,1,RightGen
vsat/VSolve/Empty/Chc/2/VariantSize/10/numPlain/1/RightGen,0.03350078665639991,0.03284343296866671,0.03519169230578806,0.0020659070606205273,0.0008024869522574294,0.0037481925226691194,1.0,VSolve,Empty,2,Chc,VariantSize,10,RightGen
vsat/VSolve/Empty/Chc/2/VariantSize/10/numPlain/10/RightGen,0.03683996681627163,0.036348668511489296,0.037703782436579576,0.001503350118418422,0.0008429881068831633,0.0024565745675018923,10.0,VSolve,Empty,2,Chc,VariantSize,10,RightGen
vsat/VSolve/Empty/Chc/2/VariantSize/10/numPlain/100/RightGen,0.0732952754905052,0.07166561698267045,0.07665889298548462,0.004052571054749742,0.0025100950815477845,0.006089512160639638,100.0,VSolve,Empty,2,Chc,VariantSize,10,RightGen
vsat/VSolve/Empty/Chc/2/VariantSize/100/numPlain/1/RightGen,0.1816448930293215,0.1785927567878389,0.1847376172621201,0.004459313542548319,0.003967627220564577,0.0051533993533587575,1.0,VSolve,Empty,2,Chc,VariantSize,100,RightGen
vsat/VSolve/Empty/Chc/2/VariantSize/100/numPlain/10/RightGen,0.18464713457401052,0.17968253966581768,0.1878243613977247,0.005744033653892971,0.004245452251612708,0.006847954327683135,10.0,VSolve,Empty,2,Chc,VariantSize,100,RightGen
vsat/VSolve/Empty/Chc/2/VariantSize/100/numPlain/100/RightGen,0.22328685558168218,0.21622875274867207,0.23900004671324696,0.013776842238584532,0.0024850616982401742,0.02052234010507187,100.0,VSolve,Empty,2,Chc,VariantSize,100,RightGen
vsat/VSolve/Empty/Chc/3/VariantSize/1/numPlain/1/RightGen,0.026549774862669878,0.025735957380400423,0.027442344911818795,0.0017432762857704823,0.001077871825074808,0.0023994822884923404,1.0,VSolve,Empty,3,Chc,VariantSize,1,RightGen
vsat/VSolve/Empty/Chc/3/VariantSize/1/numPlain/10/RightGen,0.03279135823502135,0.03202666648020716,0.03371819264271952,0.0018965776858143064,0.001326963400482615,0.002673054886617674,10.0,VSolve,Empty,3,Chc,VariantSize,1,RightGen
vsat/VSolve/Empty/Chc/3/VariantSize/1/numPlain/100/RightGen,0.09230344473428932,0.09073921203488916,0.09336022261363859,0.0021205273669627914,0.0014328635584326542,0.0030822591646839023,100.0,VSolve,Empty,3,Chc,VariantSize,1,RightGen
vsat/VSolve/Empty/Chc/3/VariantSize/10/numPlain/1/RightGen,0.0630428079377654,0.061511844749077206,0.06447734716364163,0.0026820257139861933,0.00196090143818248,0.003490659756406568,1.0,VSolve,Empty,3,Chc,VariantSize,10,RightGen
vsat/VSolve/Empty/Chc/3/VariantSize/10/numPlain/10/RightGen,0.07207910348696688,0.07075116706768482,0.07357017035845072,0.0025888715199795117,0.0018235002238118911,0.00356961425947984,10.0,VSolve,Empty,3,Chc,VariantSize,10,RightGen
vsat/VSolve/Empty/Chc/3/VariantSize/10/numPlain/100/RightGen,0.1317793302145609,0.13011280185897012,0.13417594620138212,0.0029637628247446623,0.002043693008291796,0.003951120933085928,100.0,VSolve,Empty,3,Chc,VariantSize,10,RightGen
vsat/VSolve/Empty/Chc/3/VariantSize/100/numPlain/1/RightGen,0.43193447539533736,0.42113287749816664,0.44152492731382154,0.012781410671183642,0.010255540328536076,0.015265175326185076,1.0,VSolve,Empty,3,Chc,VariantSize,100,RightGen
vsat/VSolve/Empty/Chc/3/VariantSize/100/numPlain/10/RightGen,0.42148754106392516,0.41590927737797756,0.42706580474987277,0.006657744059933847,0.0018153631754082569,0.008119754737213028,10.0,VSolve,Empty,3,Chc,VariantSize,100,RightGen
vsat/VSolve/Empty/Chc/3/VariantSize/100/numPlain/100/RightGen,0.5018012308955804,0.4825120152490854,0.5346443836460821,0.03188218879624631,0.0023542129165434744,0.041828124461650365,100.0,VSolve,Empty,3,Chc,VariantSize,100,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/1/numPlain/1/LeftGen,0.015624347357037412,0.014734954560208745,0.016778580073293796,0.002478494682507172,0.0018446578927816299,0.0029754073367232636,1.0,VSolve,Empty,1,Chc,VariantSize,1,LeftGen
vsat/VSolve/Empty/Chc/1/VariantSize/1/numPlain/10/LeftGen,0.019749159045830682,0.01852320752887863,0.021942970782495085,0.0035014530834769665,0.0026421387763917985,0.005010108178135104,10.0,VSolve,Empty,1,Chc,VariantSize,1,LeftGen
vsat/VSolve/Empty/Chc/1/VariantSize/1/numPlain/100/LeftGen,0.04256065516082584,0.04090950779360158,0.045535589321699994,0.003999636516531043,0.0025242807392247273,0.006226278354762952,100.0,VSolve,Empty,1,Chc,VariantSize,1,LeftGen
vsat/VSolve/Empty/Chc/1/VariantSize/10/numPlain/1/LeftGen,0.019705533816930697,0.019280304984080815,0.020646021515572342,0.0014088582974842185,0.0008365700983484046,0.00200252895330597,1.0,VSolve,Empty,1,Chc,VariantSize,10,LeftGen
vsat/VSolve/Empty/Chc/1/VariantSize/10/numPlain/10/LeftGen,0.022152653542977695,0.02182688903063596,0.022584048162169582,0.000870876710884213,0.0006703576908413217,0.001204728388142086,10.0,VSolve,Empty,1,Chc,VariantSize,10,LeftGen
vsat/VSolve/Empty/Chc/1/VariantSize/10/numPlain/100/LeftGen,0.04428465841512027,0.043249318914121496,0.045892779425928135,0.00253570742414082,0.0015331013474850792,0.0036636615504876324,100.0,VSolve,Empty,1,Chc,VariantSize,10,LeftGen
vsat/VSolve/Empty/Chc/1/VariantSize/100/numPlain/1/LeftGen,0.06519913303547599,0.06275581608639516,0.06657716380278879,0.003277812494885889,0.0016053762654199989,0.005310348067477104,1.0,VSolve,Empty,1,Chc,VariantSize,100,LeftGen
vsat/VSolve/Empty/Chc/1/VariantSize/100/numPlain/10/LeftGen,0.07044529185942351,0.06807481937253662,0.07255625429907096,0.004186202939893713,0.0026208773226555227,0.0060457359554155175,10.0,VSolve,Empty,1,Chc,VariantSize,100,LeftGen
vsat/VSolve/Empty/Chc/1/VariantSize/100/numPlain/100/LeftGen,0.09000057987689745,0.08831630616116984,0.09177782205333469,0.002630445607706271,0.0017433597683419225,0.003919267990790724,100.0,VSolve,Empty,1,Chc,VariantSize,100,LeftGen
vsat/VSolve/Empty/Chc/2/VariantSize/1/numPlain/1/LeftGen,0.017978557732313275,0.01774201426808154,0.018334122978598925,0.0007011586603092535,0.0005245746380482452,0.0009770557470419434,1.0,VSolve,Empty,2,Chc,VariantSize,1,LeftGen
vsat/VSolve/Empty/Chc/2/VariantSize/1/numPlain/10/LeftGen,0.022262287937295327,0.021772769742151324,0.02273392042606462,0.00111206587871687,0.0008613277444715729,0.0014285606580915153,10.0,VSolve,Empty,2,Chc,VariantSize,1,LeftGen
vsat/VSolve/Empty/Chc/2/VariantSize/1/numPlain/100/LeftGen,0.07082896946076925,0.0658007624242339,0.07834307165893474,0.010862333243798988,0.0061598398725043356,0.01598443775462536,100.0,VSolve,Empty,2,Chc,VariantSize,1,LeftGen
vsat/VSolve/Empty/Chc/2/VariantSize/10/numPlain/1/LeftGen,0.0355147916494464,0.033161904781295486,0.03875730127864823,0.00539329963615643,0.003237458358896032,0.00710234627894635,1.0,VSolve,Empty,2,Chc,VariantSize,10,LeftGen
vsat/VSolve/Empty/Chc/2/VariantSize/10/numPlain/10/LeftGen,0.037730540038485964,0.036807145881284094,0.039782912495842766,0.0029251308035042997,0.0012508953343396384,0.005136779265994069,10.0,VSolve,Empty,2,Chc,VariantSize,10,LeftGen
vsat/VSolve/Empty/Chc/2/VariantSize/10/numPlain/100/LeftGen,0.07236296764572649,0.07002687544101906,0.07411594090251362,0.003684815805856132,0.0022485806356659067,0.005728660966546236,100.0,VSolve,Empty,2,Chc,VariantSize,10,LeftGen
vsat/VSolve/Empty/Chc/2/VariantSize/100/numPlain/1/LeftGen,0.17692193047489596,0.1741065349649956,0.179189591486573,0.003807418366199855,0.0020417390231797306,0.005695479566090201,1.0,VSolve,Empty,2,Chc,VariantSize,100,LeftGen
vsat/VSolve/Empty/Chc/2/VariantSize/100/numPlain/10/LeftGen,0.18231384835307837,0.18081963154226185,0.18425608651143396,0.0023238046006760064,0.0016956337379976077,0.0029598801885430655,10.0,VSolve,Empty,2,Chc,VariantSize,100,LeftGen
vsat/VSolve/Empty/Chc/2/VariantSize/100/numPlain/100/LeftGen,0.21700711235282344,0.21050587506664065,0.2267883816161581,0.0097566832473272,0.006486515213711186,0.01205985477425388,100.0,VSolve,Empty,2,Chc,VariantSize,100,LeftGen
vsat/VSolve/Empty/Chc/3/VariantSize/1/numPlain/1/LeftGen,0.025503126002570507,0.024962624673055718,0.025993037714778608,0.0011445252880329078,0.0007799688813600422,0.001696376145236861,1.0,VSolve,Empty,3,Chc,VariantSize,1,LeftGen
vsat/VSolve/Empty/Chc/3/VariantSize/1/numPlain/10/LeftGen,0.031866136630323456,0.03133459649373359,0.03251131017057561,0.0013091495780191145,0.001035382728091996,0.0016345570409864133,10.0,VSolve,Empty,3,Chc,VariantSize,1,LeftGen
vsat/VSolve/Empty/Chc/3/VariantSize/1/numPlain/100/LeftGen,0.09838156935031382,0.09449086543148345,0.10281609963280017,0.007266821313938342,0.006107036157130286,0.008620090740496716,100.0,VSolve,Empty,3,Chc,VariantSize,1,LeftGen
vsat/VSolve/Empty/Chc/3/VariantSize/10/numPlain/1/LeftGen,0.07819324992714255,0.07061459739644782,0.08670568551724224,0.013984585412492494,0.011605589003527927,0.01808030645022744,1.0,VSolve,Empty,3,Chc,VariantSize,10,LeftGen
vsat/VSolve/Empty/Chc/3/VariantSize/10/numPlain/10/LeftGen,0.08248575130369765,0.07635484033642512,0.10077358943420525,0.016531272079986014,0.004568920744919569,0.027505090335409245,10.0,VSolve,Empty,3,Chc,VariantSize,10,LeftGen
vsat/VSolve/Empty/Chc/3/VariantSize/10/numPlain/100/LeftGen,0.13216775927346155,0.12854429146673174,0.1357983818828069,0.005588158802651323,0.004185084167262616,0.0071729467310645235,100.0,VSolve,Empty,3,Chc,VariantSize,10,LeftGen
vsat/VSolve/Empty/Chc/3/VariantSize/100/numPlain/1/LeftGen,0.4070820508113684,0.40489910199903534,0.4095179209980415,0.0028787671383352456,0.0013547943734848321,0.0037287301103659555,1.0,VSolve,Empty,3,Chc,VariantSize,100,LeftGen
vsat/VSolve/Empty/Chc/3/VariantSize/100/numPlain/10/LeftGen,0.4390267071036457,0.40996877393627074,0.46270641018782044,0.03281447590796842,0.010196400334583217,0.04428124678356648,10.0,VSolve,Empty,3,Chc,VariantSize,100,LeftGen
vsat/VSolve/Empty/Chc/3/VariantSize/100/numPlain/100/LeftGen,0.47267805137425967,0.4418664059994626,0.4864312311242429,0.023779959091180736,0.008353444750355266,0.031761608123464555,100.0,VSolve,Empty,3,Chc,VariantSize,100,LeftGen
vsat/VSolve/Def/Chc/1/VariantSize/1/numPlain/1/LeftGen,0.013968739220795301,0.013746771085920144,0.014334392023233984,0.0006781622703535071,0.00046827906204031694,0.001087420735921595,1.0,VSolve,Def,1,Chc,VariantSize,1,LeftGen
vsat/VSolve/Def/Chc/1/VariantSize/1/numPlain/10/LeftGen,0.01680580622205927,0.01643900580822148,0.01764570151561862,0.0013078714173930595,0.0006268957392325625,0.0024521595060262285,10.0,VSolve,Def,1,Chc,VariantSize,1,LeftGen
vsat/VSolve/Def/Chc/1/VariantSize/1/numPlain/100/LeftGen,0.03909263803851943,0.038313334321480215,0.04086723251125582,0.002213030693194358,0.0009522855226309166,0.0033535775546894536,100.0,VSolve,Def,1,Chc,VariantSize,1,LeftGen
vsat/VSolve/Def/Chc/1/VariantSize/10/numPlain/1/LeftGen,0.020938838501988067,0.020598475952953374,0.02130370031807212,0.0008441575450310902,0.0006828757703991644,0.0010648742629475701,1.0,VSolve,Def,1,Chc,VariantSize,10,LeftGen
vsat/VSolve/Def/Chc/1/VariantSize/10/numPlain/10/LeftGen,0.023097394467332742,0.02288656205059506,0.02325388793758396,0.00041335036425661716,0.0003157268168758305,0.0005773301873896001,10.0,VSolve,Def,1,Chc,VariantSize,10,LeftGen
vsat/VSolve/Def/Chc/1/VariantSize/10/numPlain/100/LeftGen,0.04465181631193623,0.04387054750782578,0.04523502785285786,0.0013245033770953648,0.0010547759030899075,0.0017924906365587735,100.0,VSolve,Def,1,Chc,VariantSize,10,LeftGen
vsat/VSolve/Def/Chc/1/VariantSize/100/numPlain/1/LeftGen,0.08628047400804997,0.08241234604920292,0.09545806581967207,0.009886408261607206,0.002920105598219559,0.016671093538770318,1.0,VSolve,Def,1,Chc,VariantSize,100,LeftGen
vsat/VSolve/Def/Chc/1/VariantSize/100/numPlain/10/LeftGen,0.08717348888978738,0.08521706336528632,0.08954101737013034,0.0036624893427027933,0.002839426993643589,0.004634557443071822,10.0,VSolve,Def,1,Chc,VariantSize,100,LeftGen
vsat/VSolve/Def/Chc/1/VariantSize/100/numPlain/100/LeftGen,0.11058749389115724,0.10620390778368592,0.11429899283678951,0.0066295758965442125,0.0053404103398248335,0.008465663729363977,100.0,VSolve,Def,1,Chc,VariantSize,100,LeftGen
vsat/VSolve/Def/Chc/2/VariantSize/1/numPlain/1/LeftGen,0.019720193406301274,0.01876043356985147,0.021843132414309244,0.0035175077712566475,0.0016432916883609725,0.00590330715581033,1.0,VSolve,Def,2,Chc,VariantSize,1,LeftGen
vsat/VSolve/Def/Chc/2/VariantSize/1/numPlain/10/LeftGen,0.023489875911902425,0.022416672489669588,0.024783377398331374,0.002450966829993846,0.0018468718824556786,0.0034609867028328827,10.0,VSolve,Def,2,Chc,VariantSize,1,LeftGen
vsat/VSolve/Def/Chc/2/VariantSize/1/numPlain/100/LeftGen,0.05943034448307614,0.05789622524546339,0.06231187480688608,0.004008424578268554,0.0017869193989433086,0.006218918771164339,100.0,VSolve,Def,2,Chc,VariantSize,1,LeftGen
vsat/VSolve/Def/Chc/2/VariantSize/10/numPlain/1/LeftGen,0.03667251465010522,0.036035324626432205,0.037472998382659606,0.0016023588004994017,0.001299003018564915,0.0019138658594663085,1.0,VSolve,Def,2,Chc,VariantSize,10,LeftGen
vsat/VSolve/Def/Chc/2/VariantSize/10/numPlain/10/LeftGen,0.038743279564227504,0.03803794285564157,0.03941982005151523,0.0014632233630511306,0.0010982230297057842,0.0018678159196844047,10.0,VSolve,Def,2,Chc,VariantSize,10,LeftGen
vsat/VSolve/Def/Chc/2/VariantSize/10/numPlain/100/LeftGen,0.07313543197356624,0.07205263007068972,0.07408615162011384,0.0017634003929238632,0.0013563615247786712,0.0022871706526782546,100.0,VSolve,Def,2,Chc,VariantSize,10,LeftGen
vsat/VSolve/Def/Chc/2/VariantSize/100/numPlain/1/LeftGen,0.21756614521394416,0.2137789950881496,0.2213532953397387,0.005322540882871916,0.0033399146029762994,0.0070250087072930775,1.0,VSolve,Def,2,Chc,VariantSize,100,LeftGen
vsat/VSolve/Def/Chc/2/VariantSize/100/numPlain/10/LeftGen,0.22491376640852345,0.2147936195009,0.23090255396402629,0.010670266559855654,0.005740608217722068,0.016539175454868542,10.0,VSolve,Def,2,Chc,VariantSize,100,LeftGen
vsat/VSolve/Def/Chc/2/VariantSize/100/numPlain/100/LeftGen,0.2564081702637486,0.2517930106507265,0.26277438550721854,0.006578103007452632,0.003012659585887833,0.009800981211334412,100.0,VSolve,Def,2,Chc,VariantSize,100,LeftGen
vsat/VSolve/Def/Chc/3/VariantSize/1/numPlain/1/LeftGen,0.02550199109708842,0.0249389360487641,0.026002109001883607,0.0012560881246278638,0.0009263965603702774,0.0016717584714425028,1.0,VSolve,Def,3,Chc,VariantSize,1,LeftGen
vsat/VSolve/Def/Chc/3/VariantSize/1/numPlain/10/LeftGen,0.03243135278125868,0.0317708818777822,0.03290035499045246,0.0011185105875922323,0.000806977144699856,0.001593130204708392,10.0,VSolve,Def,3,Chc,VariantSize,1,LeftGen
vsat/VSolve/Def/Chc/3/VariantSize/1/numPlain/100/LeftGen,0.09329142871939813,0.09181072453602274,0.09477042795674888,0.0025245671918453618,0.0019399658068472872,0.0032400644947959013,100.0,VSolve,Def,3,Chc,VariantSize,1,LeftGen
vsat/VSolve/Def/Chc/3/VariantSize/10/numPlain/1/LeftGen,0.06830646095685623,0.06671288384455393,0.07012952989652142,0.0031423220936680537,0.0022504483650367174,0.004119008736499714,1.0,VSolve,Def,3,Chc,VariantSize,10,LeftGen
vsat/VSolve/Def/Chc/3/VariantSize/10/numPlain/10/LeftGen,0.08765123406867537,0.08152589783714373,0.1002382441560864,0.013758624896415909,0.008893030603276578,0.019982936711412765,10.0,VSolve,Def,3,Chc,VariantSize,10,LeftGen
vsat/VSolve/Def/Chc/3/VariantSize/10/numPlain/100/LeftGen,0.17305391022177377,0.15891080433470123,0.1921718036272959,0.023446690880195988,0.014513841551217606,0.03493952463134575,100.0,VSolve,Def,3,Chc,VariantSize,10,LeftGen
vsat/VSolve/Def/Chc/3/VariantSize/100/numPlain/1/LeftGen,0.5737237855629852,0.5529325517500183,0.591138754438513,0.02169481983512252,0.01652824046593643,0.025184200030259896,1.0,VSolve,Def,3,Chc,VariantSize,100,LeftGen
vsat/VSolve/Def/Chc/3/VariantSize/100/numPlain/10/LeftGen,0.5376745344795685,0.5143197413332625,0.5632245949382195,0.027206416499153296,0.022832489511583034,0.029697713847453507,10.0,VSolve,Def,3,Chc,VariantSize,100,LeftGen
vsat/VSolve/Def/Chc/3/VariantSize/100/numPlain/100/LeftGen,0.5860566114793073,0.575126635624656,0.5977940531256536,0.014287750674159333,0.000617358188761118,0.01765517219096646,100.0,VSolve,Def,3,Chc,VariantSize,100,LeftGen
